title,jobs,stacks
[소프트웨어사업본부] 엔진개발,"['게임 클라이언트', '응용 프로그램', 'VR/AR/3D']","['Unity', 'Unreal Engine', 'C++', 'JavaScript', 'DirectX', 'OpenGL', 'Azure Blueprints']"
[쿠프마케팅그룹] 페이즈 북앤라이프 프론트엔드 개발자,['프론트엔드'],"['ReactJS', 'TypeScript', 'Next.js', 'Jest', 'Storybook']"
DBA,['DBA'],[]
DevOps 엔지니어,['데브옵스'],[]
PHP 풀스택 개발자,"['서버/백엔드', '웹 풀스택', '웹 퍼블리싱']","['PHP', 'Java', 'Laravel']"
Application Engineer,"['서버/백엔드', '시스템/네트워크']","['Java', 'Python', 'Apache Kafka', 'Linux']"
서버 개발자(PHP/Laravel),"['서버/백엔드', '웹 풀스택']","['PHP', 'Laravel', 'MariaDB', 'AWS EC2', 'AWS RDS', 'AWS ElasticBeanstalk', 'AWS DynamoDB', 'Spring', 'Java']"
React Native 개발 (주)비비바바(VIVIVAVA),"['프론트엔드', '안드로이드', '크로스 플랫폼']",['React Native']
5G 기지국 소프트웨어 개발,"['서버/백엔드', '시스템/네트워크', '시스템 소프트웨어']","['Linux', 'C', 'C++']"
4G/5G Core 소프트웨어 개발,"['서버/백엔드', '시스템/네트워크', '시스템 소프트웨어']","['Linux', 'C', 'C++']"
프론트엔드 개발,['프론트엔드'],"['TypeScript', 'zustand', 'Storybook', 'Jenkins', 'GitHub']"
Data Scientist,"['머신러닝', '데이터 엔지니어링']",[]
AI/ML 연구원,"['머신러닝', '인공지능(AI)', '데이터 엔지니어링']","['Python', 'Tensorflow', 'PyTorch']"
임베디드 소프트웨어/펌웨어 주니어 개발자,"['임베디드 소프트웨어', '사물인터넷(IoT)']","['C', 'Assembly', 'BLE(Bluetooth Low Energy)']"
ML Engineer,"['머신러닝', '인공지능(AI)']","['Python', 'Git', 'Unix', 'Linux', 'OpenCV', 'C++', 'Tensorflow', 'Machine Learning', 'Deep Learning', 'NVIDIA TensorRT', 'PyTorch', 'Docker', 'Kubernetes']"
개발팀_팀장부문,"['서버/백엔드', '시스템 소프트웨어', '개발PM']","['Java', 'Swift', 'React Native', 'Django']"
[소프트웨어사업본부] BE개발,['서버/백엔드'],"['Go', 'Node.js', 'Amazon Web Services(AWS)', 'Docker', 'Kubernetes', 'MySQL', 'Rancher', 'Gin']"
백엔드 개발자,"['서버/백엔드', '웹 풀스택', '인공지능(AI)']","['Django', 'Python', 'DRF(Django REST framework)', 'PostgreSQL', 'Linux', 'Unix', 'REST API', 'MySQL', 'Oracle', 'Spring', 'Node.js']"
프론트엔드 개발자,"['프론트엔드', '웹 풀스택', '그래픽스']","['ReactJS', 'Vue.js', 'JavaScript', 'ES5', 'ES6', 'Rust', 'Nuxt.js', 'Tailwind CSS', 'Zeplin', 'HTML5', 'Webpack', 'REST API', 'HTML', 'CSS', 'Angular', 'Babel', 'ThreeJS', 'GitHub']"
DevOps 개발자,"['서버/백엔드', '시스템/네트워크', '데브옵스']","['GitHub Actions', 'Python', 'Shell Script', 'Linux', 'Terraform', 'Ansible', 'Kubernetes']"
